t,l_0_0,l_0_1,l_0_2,l_1_0,l_1_1,l_1_2,l_2_0,l_2_1,l_2_2,l_3_0,l_3_1,l_3_2,l_4_0,l_4_1,l_4_2,l_dot_0_0,l_dot_0_1,l_dot_0_2,l_dot_1_0,l_dot_1_1,l_dot_1_2,l_dot_2_0,l_dot_2_1,l_dot_2_2,l_dot_3_0,l_dot_3_1,l_dot_3_2,l_dot_4_0,l_dot_4_1,l_dot_4_2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,5.772222235756863091e-05,8.982403326316106430e-05,9.234996929025260078e-05,6.323204861627142973e-05,8.738108972184001995e-05,8.928329499734690897e-05,6.831427696451414548e-05,8.512837216327913251e-05,8.645391370447255003e-05,7.309458075911828812e-05,8.300996414376118427e-05,8.379209229067614579e-05,7.769512879895092291e-05,8.097151241954652680e-05,8.123002972356941048e-05,1.129554933512018355e-02,1.772884331120479565e-02,1.825498205941758836e-02,1.250963245023399215e-02,1.719267526936439291e-02,1.757715934107920153e-02,1.355592678967132078e-02,1.673103664488432077e-02,1.699255727097741947e-02,1.448419730367577971e-02,1.632182200931004898e-02,1.647353003443189842e-02,1.534238250736990120e-02,1.594373656994005004e-02,1.599344251809610082e-02
2.000000000000000042e-02,2.201233709897777095e-04,3.511569269066131872e-04,3.622732757660455027e-04,2.487261579154012451e-04,3.385792697066795009e-04,3.462532713059345122e-04,2.709839459476539518e-04,3.288046907889452834e-04,3.337725227006467922e-04,2.888098875648144022e-04,3.209874921854092992e-04,3.237647985416678342e-04,3.040170389999912923e-04,3.143266937806241763e-04,3.152187688374526631e-04,2.090332402670527431e-02,3.440363690513243561e-02,3.562691444171778299e-02,2.457020001780482396e-02,3.279989157816871198e-02,3.356508475059116064e-02,2.701687292389626932e-02,3.173391318810851042e-02,3.218490443809323559e-02,2.864651144466614022e-02,3.102789708037551747e-02,3.126145731330333410e-02,2.980766598671931444e-02,3.052822053590984255e-02,3.060002083566697173e-02
2.999999999999999889e-02,4.693470904364227861e-04,7.758441856561869646e-04,8.036343837383907920e-04,5.548423370157666915e-04,7.385030454507803465e-04,7.555213696786267866e-04,6.105638642333503048e-04,7.142398786149980073e-04,7.240771736713353963e-04,6.468154149064829972e-04,6.985268955555919103e-04,7.035423701474782408e-04,6.720932629648978130e-04,6.876319680939758233e-04,6.891599994051200283e-04,2.860671398360670192e-02,5.043976564781702671e-02,5.259507932519991158e-02,3.667849468856523160e-02,4.693981613252630469e-02,4.803035594760352717e-02,4.101099584472391729e-02,4.507365297034299223e-02,4.556609004144040326e-02,4.300499765432860833e-02,4.422881336781209899e-02,4.441730026968780665e-02,4.372525235993295761e-02,4.394004336285810275e-02,4.398579500407921727e-02
4.000000000000000083e-02,7.865681035005456668e-04,1.357641022473404357e-03,1.412649982310377333e-03,9.829588528958695202e-04,1.272454780570168083e-03,1.301625974638483032e-03,1.092505968425630395e-03,1.225158264404710646e-03,1.239424500709864450e-03,1.148746972152233682e-03,1.201108729045721139e-03,1.207241196088271011e-03,1.176376808283706487e-03,1.189529950989182301e-03,1.191189272085858451e-03,3.454563173213737876e-02,6.579725835031730030e-02,6.912556379551684782e-02,4.897844801458392516e-02,5.959597738720152221e-02,6.091734519484731658e-02,5.543776904565840546e-02,5.684769600110772814e-02,5.721151991397902675e-02,5.736629888093491142e-02,5.605890028912217243e-02,5.607223342676474764e-02,5.701745533607405214e-02,5.625339396859697916e-02,5.622630192890461232e-02
5.000000000000000278e-02,1.156360940134967645e-03,2.088502290320734360e-03,2.183506082102431613e-03,1.534939184652476390e-03,1.925479565797299326e-03,1.968513863722879537e-03,1.718679953465546834e-03,1.846865671639042611e-03,1.863507794483423852e-03,1.791800229763378539e-03,1.816127460330180070e-03,1.821137818253942484e-03,1.809324008733586946e-03,1.809415661291295793e-03,1.810320903284295697e-03,3.922748688694689678e-02,8.017844131783931350e-02,8.487104124393798910e-02,6.140754999697668748e-02,7.074695838833471029e-02,7.217930306079836655e-02,6.972329231643017988e-02,6.726223214879739620e-02,6.735748201189203921e-02,7.109817386523145655e-02,6.674491846474603363e-02,6.650018144448847923e-02,6.939392531568372435e-02,6.753707649688436843e-02,6.741177810892870492e-02
5.999999999999999778e-02,1.569106195004709879e-03,2.956892430968699990e-03,3.106130350611419153e-03,2.211080830055645128e-03,2.682531846123130913e-03,2.739910735261123168e-03,2.484317674237372740e-03,2.566771876960863112e-03,2.582662886664422765e-03,2.566437475468159174e-03,2.533072301744391120e-03,2.534255540595708837e-03,2.560290510158626069e-03,2.537151663281537843e-03,2.536314460880467053e-03,4.327446914698573205e-02,9.323736170322674544e-02,9.940499665721816425e-02,7.378114810572539151e-02,8.041667045929133673e-02,8.183164823380469077e-02,8.319078366860112317e-02,7.655364645440082549e-02,7.629724009271439400e-02,8.353803501200066095e-02,7.651190924809858629e-02,7.599168443568200815e-02,8.056092593774005772e-02,7.785094707631820543e-02,7.762954347200229366e-02
7.000000000000000666e-02,2.021309599609198444e-03,3.946813829098223640e-03,4.165099713765134902e-03,3.008419115474387888e-03,3.528351716708132829e-03,3.599341931932749546e-03,3.376567099481023702e-03,3.374173251052720122e-03,3.385732915175306001e-03,3.455440064699641638e-03,3.343100637158579694e-03,3.337944865569992658e-03,3.414855422600765640e-03,3.362511079891007757e-03,3.359110245902684286e-03,4.720098663129642519e-02,1.043774257363669494e-01,1.120089444811488838e-01,8.553202973579597523e-02,8.847684220266166522e-02,8.976783621114726996e-02,9.488747589618060085e-02,8.475323382167383734e-02,8.414973721838056586e-02,9.384902666684462325e-02,8.533704555538627889e-02,8.460442583342507594e-02,9.003930375239754813e-02,8.701781150946846788e-02,8.673357719147758993e-02
8.000000000000000167e-02,2.513957581094948025e-03,5.036825930602510833e-03,5.338289742830738295e-03,3.918165383593162805e-03,4.446602668570338000e-03,4.529543588301849534e-03,4.373943601839651828e-03,4.258384160770782578e-03,4.262480846089391172e-03,4.434453707144147584e-03,4.236702085512286664e-03,4.223670556388616285e-03,4.354427921149259424e-03,4.273358433963224401e-03,4.267034442040429712e-03,5.129335479291455974e-02,1.131787377563417407e-01,1.221494080201261795e-01,9.607101676181596661e-02,9.486449848524390605e-02,9.596566792894749287e-02,1.041846689609670223e-01,9.180111390926445902e-02,9.092875015383641846e-02,1.016003754033054790e-01,9.307254813378430802e-02,9.224264896055787977e-02,9.755194733897402937e-02,9.483021634924275467e-02,9.453390516532633736e-02
8.999999999999999667e-02,3.047339980869778666e-03,6.201471421449672103e-03,6.598471429238210798e-03,4.923510107232044290e-03,5.419651947663136488e-03,5.512618398822144092e-03,5.450880693506729435e-03,5.205507531475141517e-03,5.200018795243448178e-03,5.478299790203590772e-03,5.199741337770572708e-03,5.178403044157555909e-03,5.358619251516718272e-03,5.253492704535771968e-03,5.244331347632344431e-03,5.528352575156947335e-02,1.193643787555145608e-01,1.294641991445789064e-01,1.046688536503790484e-01,9.944902586319928628e-02,1.003634949407144622e-01,1.108677149249982924e-01,9.732841363235200660e-02,9.629756334594713474e-02,1.068553110683833074e-01,9.923215915951151544e-02,9.840903354370555967e-02,1.029816759171962443e-01,1.008919519388286612e-01,1.006234008200047464e-01
1.000000000000000056e-01,3.617832753190267613e-03,7.414535750033394643e-03,7.917014837104205394e-03,6.002347505846029885e-03,6.429035901729383481e-03,6.530559738854789867e-03,6.582294148736131736e-03,6.198233271740639580e-03,6.182161802598913798e-03,6.564043603133552091e-03,6.213983415713957362e-03,6.184737232989446359e-03,6.406904151176757468e-03,6.283746380389392504e-03,6.272117599172469249e-03,5.873206841642361620e-02,1.228247682944837438e-01,1.337739271375399663e-01,1.107191800013700433e-01,1.021211923696917767e-01,1.029307901855918694e-01,1.149848351534339536e-01,1.009316829991488557e-01,9.986630604571007652e-02,1.098775101423181133e-01,1.033267029874296167e-01,1.025835336545018323e-01,1.063131648498622794e-01,1.048471142950549162e-01,1.046278113320066872e-01
1.100000000000000006e-01,4.217686764581397331e-03,8.649284565094624011e-03,9.264141780639787230e-03,7.127546559991672186e-03,7.455461479989265380e-03,7.565258110899100719e-03,7.743825048934604820e-03,7.215862099807160771e-03,7.189440155974948302e-03,7.671032600516182291e-03,7.257214060814243077e-03,7.221012951844774617e-03,7.478651096159922261e-03,7.342108155536993842e-03,7.328508215122678422e-03,6.108668876471211318e-02,1.236591993842744847e-01,1.351249472924067885e-01,1.138093824040736501e-01,1.028314253988760474e-01,1.037025913405854455e-01,1.168736181819978875e-01,1.022308370695677732e-01,1.012506183929227227e-01,1.111384461188174161e-01,1.049300767742105261e-01,1.042931763576637055e-01,1.076615011765896385e-01,1.064364362787364598e-01,1.062641195077719258e-01
1.199999999999999956e-01,4.836580353470498576e-03,9.876644569628072537e-03,1.060754905772471127e-02,8.266336240803756272e-03,8.478236261139478203e-03,8.597910579122054406e-03,8.909492141506474699e-03,8.234834031743833160e-03,8.199166750267355974e-03,8.777577684648877471e-03,8.304218062874775194e-03,8.261914583966122397e-03,8.551218239144463967e-03,8.403859248129067275e-03,8.388623568562783225e-03,6.177529813856293822e-02,1.219064621481259492e-01,1.335379838275506659e-01,1.135919185779362961e-01,1.014389432669271229e-01,1.026247425534067004e-01,1.168067459086738064e-01,1.008407156994221704e-01,1.000203759250068158e-01,1.108553083404998918e-01,1.036991870149990974e-01,1.031215261244446818e-01,1.069770613007067356e-01,1.054283796318684907e-01,1.052703718373158154e-01
