t,p_0_x,p_0_y,p_0_z,p_1_x,p_1_y,p_1_z,p_2_x,p_2_y,p_2_z,p_3_x,p_3_y,p_3_z,p_4_x,p_4_y,p_4_z,pd_4_x,pd_4_y,pd_4_z,error_of_sec_4
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.350000000000000089e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.850000000000000311e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.350000000000000533e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.850000000000000755e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.350000000000000977e-01,2.000000000000000111e-01,0.000000000000000000e+00,7.500000000000000000e-01,2.005617112013158010e-01
1.000000000000000021e-02,1.081594898895066656e-04,7.091318443028973044e-06,1.350719108797885093e-01,4.552521963969139883e-04,2.985352511932057220e-05,2.851514617934689522e-01,9.788705258931911478e-04,6.420427761523671794e-05,4.352305043490281022e-01,1.619437996284136833e-03,1.062378980938504333e-04,5.853090949979543600e-01,2.320416843944717988e-03,1.522419540429793914e-04,7.353874162283549065e-01,1.999775004218718455e-01,2.999887501265618116e-03,7.500000000000000000e-01,1.982169502796812532e-01
2.000000000000000042e-02,4.434737228412027475e-04,3.125355499379544162e-05,1.352790920587290391e-01,1.837163670641900250e-03,1.296173317320133080e-04,2.855836233073437702e-01,3.875213710974204605e-03,2.737674884786435035e-04,4.358808564727981727e-01,6.311184088357317187e-03,4.463393627844672589e-04,5.861721834438611278e-01,8.943226092947186706e-03,6.329663296104692327e-04,7.364602065953280707e-01,1.999100067497975308e-01,5.999100040499132092e-03,7.500000000000000000e-01,1.915213635887284827e-01
2.999999999999999889e-02,1.042776320881356024e-03,7.829636359206441237e-05,1.356092719340860064e-01,4.229921525679487121e-03,3.186671842536581921e-04,2.862576349846084334e-01,8.694151080957533001e-03,6.576042040709353899e-04,4.368738472872365497e-01,1.385711818265851838e-02,1.051642496371205408e-03,5.874677598293525094e-01,1.933439443664167201e-02,1.470910948279504152e-03,7.380505508676882265e-01,1.997975341695684970e-01,8.996962807532047149e-03,7.500000000000000000e-01,1.810148490964753332e-01
4.000000000000000083e-02,1.954584653498442522e-03,1.553364926999690175e-04,1.360482191156155152e-01,7.748439253954514730e-03,6.197751483467897485e-04,2.871203538406645883e-01,1.546761789081443211e-02,1.246640941472377953e-03,4.381071788011778878e-01,2.404382300705947342e-02,1.950561579231150418e-03,5.890477310684132384e-01,3.293448713269254285e-02,2.684897681491561425e-03,7.399699993138313392e-01,1.996401079870408490e-01,1.199280129588892012e-02,7.500000000000000000e-01,1.672662608175754795e-01
5.000000000000000278e-02,3.211736704166425881e-03,2.687564928003866385e-04,1.365778102445009690e-01,1.244899209594638699e-02,1.052691565162315731e-03,2.881007668856159221e-01,2.413616229024609372e-02,2.065311012309609291e-03,4.394561355495270050e-01,3.657769504572221803e-02,3.162351990272734351e-03,5.907511485857754874e-01,4.915424866621200678e-02,4.283236430250761395e-03,7.420348389376220100e-01,1.994377636224415051e-01,1.498594145454847093e-02,7.500000000000000000e-01,1.508745391150740356e-01
5.999999999999999778e-02,4.816560240004259634e-03,4.223983910128491508e-04,1.371760394293864704e-01,1.828455825745186475e-02,1.628908684778560120e-03,2.891148549035216231e-01,3.449780405128528155e-02,3.125185927512460441e-03,4.407877872613360504e-01,5.105530875100199734e-02,4.692807851944411079e-03,5.924230006196905540e-01,6.738290054425052911e-02,6.263639833032095226e-03,7.440831132665866043e-01,1.991905466023988769e-01,1.797570983960221011e-02,7.500000000000000000e-01,1.324591925531971304e-01
7.000000000000000666e-02,6.735300784887136676e-03,6.169256336896109232e-04,1.378187398455276991e-01,2.509070626497963280e-02,2.350233363123924776e-03,2.900784198105501588e-01,4.619865041874184064e-02,4.423779291116704607e-03,4.419836777377591508e-01,6.696807276256977470e-02,6.533752195583593034e-03,5.939349009760718223e-01,8.701053236897259013e-02,8.613439637676934338e-03,7.459843057734486527e-01,1.988985125496994799e-01,2.096143376577649931e-02,7.500000000000000000e-01,1.126388870152376376e-01
8.000000000000000167e-02,8.898239453226005832e-03,8.487291695196997081e-04,1.384822339117921242e-01,3.259302447412906062e-02,3.205654363412368396e-03,2.909239103528042381e-01,5.875433758843141147e-02,5.941405656904904901e-03,4.429633589001690241e-01,8.372383484461071168e-02,8.661464860961396589e-03,5.952028171721711614e-01,1.074323680737739595e-01,1.131018848840535142e-02,7.476456041166817945e-01,1.985617271707732501e-01,2.394244145778387511e-02,7.500000000000000000e-01,9.203084854812328131e-02
8.999999999999999667e-02,1.122056071681074192e-02,1.110706954832513986e-03,1.391454294964007410e-01,4.048821484917693170e-02,4.174387272241812316e-03,2.916083111701616160e-01,7.167689618795992923e-02,7.646997528051536520e-03,4.436887996130078893e-01,1.007467328445228322e-01,1.104204907044665195e-02,5.961896924614256132e-01,1.280553520082433339e-01,1.432301760059517988e-02,7.490195947767408491e-01,1.981802662409095916e-01,2.691806220146966341e-02,7.500000000000000000e-01,7.125377140221147987e-02
